fact_id,source_file,section,page,statement,type,scope,condition
REF-001,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,6.2,27,"The recommended module supply voltage is 3.0 to 3.6 V, with 3.3 V typical.",recommended_operating_range,WROOM module,Recommended operating conditions
REF-002,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,6.2,27,The external power supply should be capable of delivering at least 0.5 A.,minimum_requirement,WROOM module,Recommended operating conditions
REF-003,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.1,2,ESP32-S3-WROOM-1 has an onboard PCB antenna; ESP32-S3-WROOM-1U uses an external antenna connector.,variant_rule,WROOM module variants,Antenna option
REF-004,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1-N8 provides 8 MB Quad SPI flash and no PSRAM.,variant_specific,WROOM-1-N8,Part-number comparison
REF-005,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1-N8 is listed for an ambient temperature range of -40 to 85 C.,variant_specific,WROOM-1-N8,Part-number comparison
REF-006,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1-N8R8 provides 8 MB Quad SPI flash and 8 MB Octal SPI PSRAM.,variant_specific,WROOM-1-N8R8,Part-number comparison
REF-007,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.2,3,ESP32-S3-WROOM-1-N8R8 is listed for an ambient temperature range of -40 to 65 C.,variant_specific,WROOM-1-N8R8,Part-number comparison; enabling PSRAM ECC can raise the maximum ambient temperature to 85 C while reducing usable PSRAM by 1/16
REF-008,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.1,2,"The module supports 2.4 GHz Wi-Fi using 802.11b/g/n, with 802.11n bit rate up to 150 Mbps.",capability,WROOM module,Wireless capability
REF-009,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.1,2,"The module supports Bluetooth LE 5, including Bluetooth mesh and data rates from 125 Kbps to 2 Mbps.",capability,WROOM module,Wireless capability
REF-010,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,1.1,2,"The module provides up to 36 GPIOs and multiple interfaces including SPI, UART, I2C, I2S, USB, ADC, PWM, and touch sensing.",capability,WROOM module,Peripheral capability
REF-011,esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,6.4.1,28,Wi-Fi transmit peak current is listed as 355 mA for 802.11b at 1 Mbps and 20.5 dBm.,measurement,WROOM module,Measured at 3.3 V and 25 C; TX at 100 percent duty cycle
